text,categories,word_type,frame_fit,number,bnc_pos,wordnet_pos,noun_supersense,n_words
compassion,care.virtue,noun,True,singular,,n,noun.feeling,1
empathy,care.virtue,noun,True,singular,,n,noun.feeling,1
kindness,care.virtue,noun,True,singular,,n,noun.attribute,1
caring,care.virtue,gerund,True,singular,Verb:10,a|n|v,noun.feeling,1
generosity,care.virtue,noun,True,singular,,n,noun.attribute,1
benevolence,care.virtue,noun,True,singular,,n,noun.feeling,1
altruism,care.virtue,noun,True,singular,,n,noun.attribute,1
compassionate,care.virtue,adjective,False,,,a|v,,1
nurture,care.virtue,verb,False,,,n|v,noun.attribute,1
gentleness,care.virtue,noun,True,singular,,n,noun.attribute,1
nurturance,care.virtue,noun,True,singular,,n,noun.act,1
sympathy,care.virtue,noun,True,singular,NoC:46,n,noun.cognition,1
nurturing,care.virtue,gerund,True,singular,,v,,1
motherly,care.virtue,adjective,False,,,a|r,,1
love,care.virtue,noun,True,singular,NoC:298|Verb:236,n|v,noun.feeling,1
beneficence,care.virtue,noun,True,singular,,n,noun.feeling,1
empathize,care.virtue,verb,False,,,v,,1
helpfulness,care.virtue,noun,True,singular,,n,noun.attribute,1
loving,care.virtue,gerund,True,singular,Verb:5,a|v,,1
pity,care.virtue,noun,True,singular,NoC:35,n|v,noun.feeling,1
mercy,care.virtue,noun,True,singular,NoC:23,n,noun.act,1
nurturer,care.virtue,noun,False,singular,,,,1
compassionately,care.virtue,adverb,False,,,r,,1
nurturers,care.virtue,noun,True,plural,,,,1
caringly,care.virtue,adverb,False,,,,,1
empathising,care.virtue,gerund,True,singular,,v,,1
merciful,care.virtue,adjective,False,,,a,,1
empathizing,care.virtue,gerund,True,singular,,v,,1
nurtures,care.virtue,verb,False,,,n|v,noun.attribute,1
warmhearted,care.virtue,adjective,False,,,a,,1
empathizers,care.virtue,noun,False,singular,,,,1
protectiveness,care.virtue,noun,True,singular,,n,noun.feeling,1
nurtured,care.virtue,verb,False,,,v,,1
benevolent,care.virtue,adjective,False,,,a,,1
mothering,care.virtue,gerund,True,singular,,v,,1
cared,care.virtue,verb,False,,Verb:13,v,,1
healing,care.virtue,gerund,True,singular,,a|n|v,noun.process,1
empathises,care.virtue,verb,False,,,v,,1
humane,care.virtue,adjective,False,,,a,,1
comfort,care.virtue,noun,True,singular,NoC:54|Verb:16,n|v,noun.state,1
pitied,care.virtue,verb,False,,,v,,1
loved,care.virtue,verb,False,,Verb:46,a|v,,1
altruist,care.virtue,noun,False,singular,,n,noun.person,1
cares,care.virtue,verb,False,,Verb:6|NoC:1,n|v,noun.act,1
pitying,care.virtue,gerund,True,singular,,v,,1
comforted,care.virtue,verb,False,,Verb:3,a|v,,1
hug,care.virtue,verb,False,,,n|v,noun.act,1
comforting,care.virtue,gerund,True,singular,Verb:1,a|v,,1
consoling,care.virtue,gerund,True,singular,,a|v,,1
empathizes,care.virtue,verb,False,,,v,,1
sympathize,care.virtue,verb,False,,,v,,1
care,care.virtue,noun,True,singular,NoC:396|Verb:132,n|v,noun.act,1
caregiver,care.virtue,noun,False,singular,,n,noun.person,1
empathised,care.virtue,verb,False,,,v,,1
hugs,care.virtue,verb,False,,,n|v,noun.act,1
heal,care.virtue,verb,False,,,v,,1
generous,care.virtue,adjective,False,,Adj:23,a,,1
condolences,care.virtue,noun,True,plural,,n,noun.communication,1
mothered,care.virtue,verb,False,,,v,,1
charitable,care.virtue,adjective,False,,,a,,1
generously,care.virtue,adverb,False,,,r,,1
pities,care.virtue,verb,False,,,n|v,noun.feeling,1
condolence,care.virtue,noun,True,singular,,n,noun.communication,1
help,care.virtue,verb,False,,Verb:688|NoC:217,n|v,noun.act,1
consolingly,care.virtue,adverb,False,,,r,,1
solace,care.virtue,noun,True,singular,,n|v,noun.feeling,1
mother,care.virtue,noun,False,singular,NoC:557,n|v,noun.person,1
healer,care.virtue,noun,False,singular,,n,noun.person,1
hospitality,care.virtue,noun,True,singular,,n,noun.communication,1
charity,care.virtue,noun,False,singular,NoC:80,n,noun.group,1
empathized,care.virtue,verb,False,,,v,,1
healers,care.virtue,noun,True,plural,,n,noun.person,1
pityingly,care.virtue,adverb,False,,,r,,1
mothers,care.virtue,noun,True,plural,NoC:33,n|v,noun.person,1
child,care.virtue,noun,False,singular,NoC:954,n,noun.person,1
