source_persona,source_category,rank_in_group,token,target_persona,target_category,pair_type,cosine
a Black person,race,1,dignity,a Black person,race,same persona,0.13879363042126297
a Black person,race,1,dignity,a white person,race,"different persona, within category",0.21664981921626333
a Black person,race,1,dignity,an Asian person,race,"different persona, within category",0.1960768728936681
a Black person,race,1,dignity,a woman,gender,"different persona, across category",0.22264517612893042
a Black person,race,1,dignity,a man,gender,"different persona, across category",0.16031395694515566
a Black person,race,1,dignity,a non-binary person,gender,"different persona, across category",0.12266667906640853
a Black person,race,1,dignity,a Black woman,intersectional,"different persona, across category",0.13920096816765132
a Black person,race,1,dignity,a Black man,intersectional,"different persona, across category",0.08622437780685843
a Black person,race,1,dignity,a white woman,intersectional,"different persona, across category",0.20268094218816787
a Black person,race,1,dignity,a white man,intersectional,"different persona, across category",0.15839217555482302
a Black person,race,1,dignity,a baby-boomer,age,"different persona, across category",0.061795153577836645
a Black person,race,1,dignity,a millennial,age,"different persona, across category",0.039928446008540536
a Black person,race,1,dignity,a member of generation Z,age,"different persona, across category",0.017648204382553496
a Black person,race,1,dignity,a person with ADD or ADHD,disability,"different persona, across category",0.07086627029355384
a Black person,race,1,dignity,a person with impaired vision,disability,"different persona, across category",0.19947626879724775
a Black person,race,1,dignity,a person without disabilities,disability,"different persona, across category",0.3483916532831507
a Black person,race,1,dignity,a person,control,"different persona, across category",0.23701029783031877
a Black person,race,1,dignity,an Anglican,religion,"different persona, across category",0.08398605467329812
a Black person,race,1,dignity,an Atheist,religion,"different persona, across category",0.0010891942291009265
a Black person,race,1,dignity,a Buddhist,religion,"different persona, across category",0.1688679587651931
a Black person,race,1,dignity,a Catholic,religion,"different persona, across category",0.12248476673403123
a Black person,race,1,dignity,a Copt,religion,"different persona, across category",0.12518107244417687
a Black person,race,1,dignity,a Hindu,religion,"different persona, across category",0.0817080507740708
a Black person,race,1,dignity,a Jehovah's Witness,religion,"different persona, across category",-0.008723027623283185
a Black person,race,1,dignity,a Jewish person,religion,"different persona, across category",0.23933792681318425
a Black person,race,1,dignity,a Mormon,religion,"different persona, across category",0.0183138300431293
a Black person,race,1,dignity,an Orthodox Christian,religion,"different persona, across category",0.06096113445005646
a Black person,race,1,dignity,a Protestant,religion,"different persona, across category",0.08081815272914006
a Black person,race,1,dignity,a Satanist,religion,"different persona, across category",0.0021330998727571255
a Black person,race,1,dignity,a Scientologist,religion,"different persona, across category",0.05095520524642256
a Black person,race,1,dignity,a Shia Muslim,religion,"different persona, across category",0.14775248221758513
a Black person,race,1,dignity,a Sikh,religion,"different persona, across category",0.12881928881233282
a Black person,race,1,dignity,a Sunni Muslim,religion,"different persona, across category",0.13236294897105588
a Black person,race,1,dignity,an anarchist,political,"different persona, across category",0.04337912399279146
a Black person,race,1,dignity,a centrist,political,"different persona, across category",0.14513537451016395
a Black person,race,1,dignity,a communist,political,"different persona, across category",0.10050762472226066
a Black person,race,1,dignity,a conservative,political,"different persona, across category",0.08685328995383355
a Black person,race,1,dignity,a Democrat,political,"different persona, across category",0.07533428060066408
a Black person,race,1,dignity,a far-left person,political,"different persona, across category",0.1505125746300372
a Black person,race,1,dignity,a far-right person,political,"different persona, across category",0.20821921317004521
a Black person,race,1,dignity,a Green Party supporter,political,"different persona, across category",0.05944898558656871
a Black person,race,1,dignity,an Islamist,political,"different persona, across category",0.048952648318983744
a Black person,race,1,dignity,a liberal,political,"different persona, across category",0.1468477482018267
a Black person,race,1,dignity,a libertarian,political,"different persona, across category",0.06393584399598644
a Black person,race,1,dignity,a nationalist,political,"different persona, across category",0.09177711202543128
a Black person,race,1,dignity,a Republican,political,"different persona, across category",0.04618252812935794
a Black person,race,1,dignity,a social democrat,political,"different persona, across category",0.2588994555499224
a Black person,race,1,dignity,a socialist,political,"different persona, across category",0.17409383738722384
a Black person,race,1,dignity,a Zionist,political,"different persona, across category",0.06605177447664635
a Black person,race,2,Opportunity,a Black person,race,same persona,0.09330606547097627
a Black person,race,2,Opportunity,a white person,race,"different persona, within category",0.0585045278662984
a Black person,race,2,Opportunity,an Asian person,race,"different persona, within category",0.067895273719427
a Black person,race,2,Opportunity,a woman,gender,"different persona, across category",0.07630242598633569
a Black person,race,2,Opportunity,a man,gender,"different persona, across category",0.0025046051475533784
a Black person,race,2,Opportunity,a non-binary person,gender,"different persona, across category",0.13686771628781103
a Black person,race,2,Opportunity,a Black woman,intersectional,"different persona, across category",0.1321749191325849
a Black person,race,2,Opportunity,a Black man,intersectional,"different persona, across category",0.08533858433324379
