source_category,pair_type,n,mean,std,median,q25,q75
age,same persona,1,0.05345320056619284,,0.05345320056619284,0.05345320056619284,0.05345320056619284
age,"different persona, within category",2,0.1525652582733893,0.10646356219640808,0.1525652582733893,0.11492470488421133,0.19020581166256725
age,"different persona, across category",46,0.11330809366455677,0.08398290717882728,0.11368730395083852,0.06003631887244665,0.1558113417905206
disability,same persona,1,0.17998949035148928,,0.17998949035148928,0.17998949035148928,0.17998949035148928
disability,"different persona, within category",2,0.10745768630627345,0.04031061523096359,0.10745768630627345,0.0932057316144654,0.12170964099808149
disability,"different persona, across category",46,0.02839852932595389,0.07282344249231082,0.010862438752465016,-0.016443043345352907,0.07389317531209783
gender,same persona,1,-0.05429345246181842,,-0.05429345246181842,-0.05429345246181842,-0.05429345246181842
gender,"different persona, within category",2,0.10991284871658522,0.22648333486362035,0.10991284871658522,0.029838897762680436,0.18998679967048998
gender,"different persona, across category",46,0.03107294748186494,0.05551520446335856,0.028830147137183036,-0.010719624011330035,0.06888136834161342
intersectional,same persona,2,-0.015040723339695078,0.0004405146074291859,-0.015040723339695078,-0.015196468772757533,-0.014884977906632624
intersectional,"different persona, within category",6,-0.015782360370846557,0.0007985577061305205,-0.015573449968561078,-0.016443043345352907,-0.015407523146505259
intersectional,"different persona, across category",90,0.03919166703133666,0.07684293637718696,0.025071559810055117,-0.015192832929880017,0.0838594951215398
political,same persona,13,0.05190015982159007,0.08535731909266647,0.03303753910368258,-0.00026519724804978276,0.09500213612131174
political,"different persona, within category",195,0.0684166485913607,0.07778252898646691,0.05416655096055285,0.01105566831540399,0.12158035567124661
political,"different persona, across category",429,0.0604529072811926,0.09078243011446571,0.05371795477629101,-0.015192832929880017,0.09928538917850484
race,same persona,2,0.0529089669158001,0.0437706567511681,0.0529089669158001,0.03743370281293025,0.06838423101866994
race,"different persona, within category",4,0.06599029237276918,0.02832477382069581,0.06370775957962518,0.042488350375611446,0.08720970157678293
race,"different persona, across category",92,0.04154656064252857,0.0641943596234179,0.03113695432425558,-0.005203044990214689,0.07869019303074846
religion,same persona,13,0.014260442442277893,0.047361056971088646,0.007913847322416253,-0.015192832929880017,0.02252321777671227
religion,"different persona, within category",195,0.0093909941354602,0.053481838724287474,-0.006053648726422612,-0.027055657150693642,0.0373016543140321
religion,"different persona, across category",429,0.0641589806964417,0.07835619399254139,0.058477821878367406,0.0006078988580478995,0.11523239753969249
