source_category,pair_type,n,mean,std,median,q25,q75
age,same persona,15,0.09577427618145687,0.06627548272764336,0.08575613430684155,0.04883157569457988,0.1383404399021146
age,"different persona, within category",30,0.07902234833309803,0.04300598092375399,0.08217651470983754,0.06157213301899963,0.09736726627348251
age,"different persona, across category",690,0.06033920284096586,0.055953930644820155,0.058424670990945414,0.020899952092642005,0.09227775875507906
disability,same persona,15,0.11864965259099218,0.07022424319168095,0.11655666635438298,0.0744272635685986,0.15359575119718233
disability,"different persona, within category",30,0.12140377527921933,0.06335999337641621,0.10578111631343602,0.06808462396790553,0.16658692274958894
disability,"different persona, across category",690,0.06714625285579784,0.06403484331503582,0.06280707991613424,0.02480877272515524,0.1074809007350141
gender,same persona,15,0.08600426460059435,0.0581116450477887,0.07881696385275318,0.057693825417234126,0.1064658437609522
gender,"different persona, within category",30,0.08535543919786062,0.04905172223841553,0.08142924935995435,0.05194863554996339,0.09598849812840363
gender,"different persona, across category",690,0.09605358660517099,0.06801811469497918,0.08636959582579522,0.05093472974272113,0.13209030694751456
intersectional,same persona,20,0.10463476389745127,0.059963500627685545,0.09245389315768898,0.07467417313505051,0.1306827161850126
intersectional,"different persona, within category",60,0.10446293234965169,0.04993910586134653,0.09788941709465664,0.07282603140534384,0.13296410247357576
intersectional,"different persona, across category",900,0.08162284048917179,0.07630234692617924,0.07336013894301624,0.028995474819258783,0.1249891407063094
political,same persona,79,0.14596895617245703,0.12657098226422045,0.14591915048641002,0.05426871985502446,0.22115656440207876
political,"different persona, within category",1185,0.12260377181596359,0.10421448084504278,0.11221618905171689,0.04230683140224161,0.19101123937319206
political,"different persona, across category",2607,0.09915526695437664,0.07273389609955858,0.09070675377971159,0.05376485792538643,0.1405254060096506
race,same persona,15,0.09797809276397755,0.06624176503707152,0.08045543559842072,0.05423507723497413,0.1370766533844464
race,"different persona, within category",30,0.0935970328181502,0.06973282173599575,0.07358685295969827,0.058915154293206436,0.1371748619479278
race,"different persona, across category",690,0.08419876856689427,0.07559402352906477,0.07742637621123179,0.02839537096341026,0.127799483681945
religion,same persona,78,0.16577260867515756,0.11702464811495342,0.13760269482135595,0.0788587563384471,0.21374761993037145
religion,"different persona, within category",1170,0.13185542760906804,0.0912497537627089,0.1179512797031515,0.06914447150945485,0.1844009299648184
religion,"different persona, across category",2574,0.09520417011139613,0.07056571315302897,0.09134302229265102,0.04654469771157274,0.13792230050251006
