source_category,pair_type,n,mean,std,median,q25,q75
age,same persona,5,0.08566355592032467,0.08150981615044475,0.05345320056619284,0.04161810723762186,0.07728415149503337
age,"different persona, within category",10,0.08651803577582225,0.07617287375768608,0.05345320056619284,0.03975909970076584,0.07728415149503337
age,"different persona, across category",230,0.0886974820897508,0.07714656302241742,0.0885787165591874,0.03618157389584138,0.131198924335187
disability,same persona,6,0.11266512530276895,0.06060080965810103,0.11200929116243816,0.10486464968532941,0.1211599783967893
disability,"different persona, within category",12,0.11050533934092198,0.05362177760864967,0.106583670099357,0.0759900220287004,0.11614394161772448
disability,"different persona, across category",276,0.10569651431819026,0.09499972158039836,0.09510257392211677,0.0399386899615514,0.15401052058706166
gender,same persona,7,0.07210694445385622,0.1174801396653331,0.015417656641023413,-0.017453618686480037,0.15975115329910589
gender,"different persona, within category",14,0.1873342193834657,0.15442264988854917,0.18080462958222054,0.10703844048865378,0.2768808020654975
gender,"different persona, across category",322,0.12664850150534324,0.07897530524272316,0.11674832434298416,0.0650747133266776,0.17793192014374945
intersectional,same persona,9,0.03566332833027211,0.05231391402235832,0.046008149186958,-0.015352214205819985,0.06862987509344229
intersectional,"different persona, within category",27,0.04346666423009115,0.051623797626885744,0.06816390366653934,-0.015352214205819985,0.09598876588292424
intersectional,"different persona, across category",405,0.055640063355610204,0.06686291200302334,0.04314407642807734,0.01158029412310242,0.09134102780172433
political,same persona,40,0.08502615404468918,0.07659692009585276,0.08063167554816347,0.031527109594367955,0.1288033691436857
political,"different persona, within category",600,0.09133445982165136,0.07855150530881144,0.08266101936288145,0.03171666573298296,0.14017404503526507
political,"different persona, across category",1320,0.08056195106130536,0.07885963319882754,0.0689745552751431,0.028115955251030035,0.1219550293609289
race,same persona,6,0.06076048869687445,0.02951979068916353,0.06081859095207967,0.04117689827067965,0.08251789771017534
race,"different persona, within category",12,0.07886534664534868,0.05085726839562852,0.06370775957962518,0.040521172218213754,0.11311638995265726
race,"different persona, across category",276,0.05961026567817489,0.06023900466045022,0.05186404244209482,0.015852059897586843,0.09151285991920202
religion,same persona,41,0.10702701840659228,0.13109627685839423,0.05823140423314926,0.01948062468374032,0.12773386598434175
religion,"different persona, within category",615,0.09239791537334809,0.10579322263213563,0.06493926419519759,0.02220783130008754,0.13566347776340698
religion,"different persona, across category",1353,0.10085094197621612,0.08440672287958424,0.08421355432627659,0.039402561856792646,0.15020307817078501
