source_category,pair_type,n,mean,std,median,q25,q75
age,same persona,14,0.11502042081568022,0.07812888546204111,0.11163037190305636,0.06481710099246213,0.15086397239822058
age,"different persona, within category",28,0.09488009061586967,0.0735772476035008,0.08899202519111915,0.0606384555695003,0.115613899731105
age,"different persona, across category",644,0.07272863211699755,0.061626743440763805,0.06858521286801991,0.028372942802976905,0.10511876010300727
disability,same persona,15,0.13508804460501195,0.06444328384672389,0.13447535095720417,0.09257937475183652,0.1685112229323728
disability,"different persona, within category",30,0.1238651346690623,0.07304582213401879,0.13368735348573713,0.0662079029901638,0.15598101860397665
disability,"different persona, across category",690,0.04939684262943183,0.05268376126374591,0.0470992526661229,0.01343271668032023,0.08443569541558547
gender,same persona,15,0.14466542426915543,0.11649726412848314,0.11228392119645349,0.08476185881623238,0.17621569015536565
gender,"different persona, within category",30,0.1141162740888396,0.06844632594942436,0.12004723136241778,0.08448584152240518,0.1580726235028584
gender,"different persona, across category",690,0.10632501980792125,0.07033149005486905,0.09210402766868407,0.05776648107639134,0.14695055296893594
intersectional,same persona,20,0.10569288435475019,0.07422649753456693,0.08631704027496703,0.07334796352395079,0.13147189952600347
intersectional,"different persona, within category",60,0.10368649950048221,0.06161923443831138,0.09550742952213462,0.06569960212092527,0.13017268616326239
intersectional,"different persona, across category",900,0.07917394539364855,0.07417410472695034,0.07062273748249788,0.030384643858073844,0.12248476673403123
political,same persona,77,0.16870176530169426,0.12326983590361945,0.1564914400281555,0.07280792217212693,0.2507093347803272
political,"different persona, within category",1155,0.14338850459798988,0.10434492653457092,0.14143411554622387,0.060354765345620676,0.2034834328681846
political,"different persona, across category",2541,0.10587015689894956,0.07370399288116188,0.10058856521141485,0.05496869321071952,0.15291932404683778
race,same persona,15,0.11392633518920715,0.06262629595116766,0.10794127481458034,0.07846311369160269,0.14109979191987804
race,"different persona, within category",30,0.10638366512347189,0.06590352611545221,0.097338131188197,0.060393953325205973,0.14225287266918554
race,"different persona, across category",690,0.08201437171867776,0.0686770334990433,0.07656853404680393,0.03423957848769936,0.1227387856591277
religion,same persona,79,0.17373053085951212,0.12714040908860583,0.15420742336587673,0.07916055203950947,0.27275484592107785
religion,"different persona, within category",1185,0.14247248376159652,0.09439765042108947,0.13341460585197906,0.07196165521111415,0.20358635993449256
religion,"different persona, across category",2607,0.10339177432554408,0.07520707451609188,0.09661853351767974,0.05174555777015431,0.1496154936598593
